LINK_ID,F_NODE,T_NODE,ROAD_NAME,smooth,slow,start_lat,start_lon,start_name,end_lat,end_lon,end_name
1830011105,1830004603,1830004604,계족로,25,15,36.344307600190355,127.43390505089329,성남동200-207,36.34484823442215,127.43358994947607,성남동199-3
1830011106,1830004604,1830005200,계족로,25,15,36.34484823442215,127.43358994947607,성남동199-3,36.347514650181076,127.43207319939964,용전네거리
1830023200,1830008800,1830008600,용운로,25,15,36.32809308798883,127.45920848037515,대전축산농협새용운지점,36.32786643203524,127.45549026292923,용운감리교회
1830005121,1830044100,1830002302,대전로,25,15,36.311805678395466,127.44548887033876,천동초등학교입구,36.311712087870944,127.443073823888,천석교
1830005202,1830002301,1830002302,대전로,50,30,36.31275246249753,127.44137560579235,대전국악방송,36.311712087870944,127.443073823888,천석교
1830005203,1830002300,1830002301,대전로,50,30,36.31527896330306,127.44038173093351,효동네거리,36.31275246249753,127.44137560579235,대전국악방송
1830005211,1830002302,1830044100,대전로,25,15,36.311712087870944,127.443073823888,천석교,36.311805678395466,127.44548887033876,천동초등학교입구
1830005221,1830044100,1830002100,대전로,25,15,36.311805678395466,127.44548887033876,천동초등학교입구,36.30843443168921,127.45041994986806,천동주공APT삼거리
1830010700,1830004700,1830004900,옥천로,50,30,36.34203311884489,127.49249704280813,세천교,36.342333181552476,127.49260213646521,세천교
1830010800,1830004900,1830004700,옥천로,50,30,36.342333181552476,127.49260213646521,세천교,36.34203311884489,127.49249704280813,세천교
1830011101,1830004600,1830004602,계족로,25,15,36.3407715258946,127.43593398047192,성남네거리,36.342419441691376,127.43499236859527,성남동166-106
1830023300,1830008900,1830008600,계족로140번길,25,15,36.32818518219428,127.45417479352528,동대전농협용운지점,36.32786643203524,127.45549026292923,용운감리교회
1830023400,1830008600,1830008900,계족로140번길,25,15,36.32786643203524,127.45549026292923,용운감리교회,36.32818518219428,127.45417479352528,동대전농협용운지점
1830023500,1830008800,1830009800,용운로151번길,25,15,36.32809308798883,127.45920848037515,대전축산농협새용운지점,36.33103486952317,127.46108132436844,용운119안전센터
1830023600,1830009800,1830008800,용운로151번길,25,15,36.33103486952317,127.46108132436844,용운119안전센터,36.32809308798883,127.45920848037515,대전축산농협새용운지점
1830023702,1830008900,1830008901,백룡로,25,15,36.32818518219428,127.45417479352528,동대전농협용운지점,36.33182546340633,127.45568791791685,용운유치원
1830023802,1830008901,1830008900,백룡로,25,15,36.33182546340633,127.45568791791685,용운유치원,36.32818518219428,127.45417479352528,동대전농협용운지점
1830023900,1830009200,1830009000,동대전로,25,15,36.32851390014729,127.440450574228,대동교,36.32831827509137,127.43987929264263,대동성당
1830024000,1830009000,1830009200,동대전로,25,15,36.32831827509137,127.43987929264263,대동성당,36.32851390014729,127.440450574228,대동교
1830031300,1830012800,1830012400,우암로,25,15,36.3396183693429,127.43379094981829,그린빌라,36.33875168199483,127.43141576221622,지하차도
1830031400,1830012400,1830012800,우암로,25,15,36.33875168199483,127.43141576221622,지하차도,36.3396183693429,127.43379094981829,그린빌라
1830031500,1830013300,1830012600,동서대로,25,15,36.34065577598145,127.42111838734444,삼성동성당네거리,36.339382650273365,127.41954245046401,속성변화점
1830031600,1830012600,1830013300,동서대로,25,15,36.339382650273365,127.41954245046401,속성변화점,36.34065577598145,127.42111838734444,삼성동성당네거리
1830031700,1830012900,1830012800,우암로,25,15,36.33997068157485,127.43449529264026,성남교,36.3396183693429,127.43379094981829,그린빌라
1830031800,1830012800,1830012900,우암로,25,15,36.3396183693429,127.43379094981829,그린빌라,36.33997068157485,127.43449529264026,성남교
1830031900,1830013100,1830012900,우암로,25,15,36.340069838055676,127.4346934813648,성남교,36.33997068157485,127.43449529264026,성남교
1830032000,1830012900,1830013100,우암로,25,15,36.33997068157485,127.43449529264026,성남교,36.340069838055676,127.4346934813648,성남교
1830032100,1830013400,1830013000,가양남로,25,15,36.340868775858006,127.44198848056854,평화횟집,36.34000930638656,127.44281754322051,세븐일레븐대전가양원룸점
1830032200,1830013000,1830013400,가양남로,25,15,36.34000930638656,127.44281754322051,세븐일레븐대전가양원룸점,36.340868775858006,127.44198848056854,평화횟집
1830032301,1830013000,1830013001,길티길,25,15,36.34000930638656,127.44281754322051,세븐일레븐대전가양원룸점,36.33865297481093,127.4449275112204,가양동561-17
1830032802,1830013101,1830013100,동서대로1572번길,25,15,36.34183405797384,127.43324382776774,성남동529,36.340069838055676,127.4346934813648,성남교
1830032900,1830013200,1830014100,대전로,50,30,36.34061368106989,127.42619754419088,삼성동458,36.34252852590949,127.4234760112664,삼성오거리
1830033000,1830014100,1830013200,대전로,50,30,36.34252852590949,127.4234760112664,삼성오거리,36.34061368106989,127.42619754419088,삼성동458
1830033100,1830013300,1830013500,동서대로,25,15,36.34065577598145,127.42111838734444,삼성동성당네거리,36.34128708835753,127.42184826221184,홍도고가
1830033200,1830013500,1830013300,동서대로,25,15,36.34128708835753,127.42184826221184,홍도고가,36.34065577598145,127.42111838734444,삼성동성당네거리
1830033300,1830013300,1830014000,태전로,25,15,36.34065577598145,127.42111838734444,삼성동성당네거리,36.34245465027165,127.41896898167948,우영축산
1830033400,1830014000,1830013300,태전로,25,15,36.34245465027165,127.41896898167948,우영축산,36.34065577598145,127.42111838734444,삼성동성당네거리
1830033501,1830004600,1830004601,우암로,25,15,36.3407715258946,127.43593398047192,성남네거리,36.341950297769024,127.43838752049143,성남동21-1
1830033502,1830004601,1830014300,우암로,25,15,36.341950297769024,127.43838752049143,성남동21-1,36.34311190112925,127.44090698114776,시온성결교회
1830033601,1830014300,1830004601,우암로,25,15,36.34311190112925,127.44090698114776,시온성결교회,36.341950297769024,127.43838752049143,성남동21-1
1830034800,1830014000,1830013900,현암로,25,15,36.34245465027165,127.41896898167948,우영축산,36.342010494249465,127.41451379429544,송림주류
1830035100,1830014000,1830014100,현암로,25,15,36.34245465027165,127.41896898167948,우영축산,36.34252852590949,127.4234760112664,삼성오거리
1830035200,1830014100,1830014000,현암로,25,15,36.34252852590949,127.4234760112664,삼성오거리,36.34245465027165,127.41896898167948,우영축산
1830035701,1830014100,1830014101,대전로,50,30,36.34252852590949,127.4234760112664,삼성오거리,36.34457347928522,127.4206083969038,오정동766
1830035702,1830014101,1870005300,대전로,50,30,36.34457347928522,127.4206083969038,오정동766,36.34624546292088,127.41831351178658,미트플러스
1830035801,1870005300,1830014101,대전로,50,30,36.34624546292088,127.41831351178658,미트플러스,36.34457347928522,127.4206083969038,오정동766
1830035802,1830014101,1830014100,대전로,50,30,36.34457347928522,127.4206083969038,오정동766,36.34252852590949,127.4234760112664,삼성오거리
1830036100,1830014900,1830014200,옛신탄진로,25,15,36.34626560859081,127.4227973204785,동산지하차도,36.342909182275356,127.42472204259741,더드림교회
1830036200,1830014200,1830014900,옛신탄진로,25,15,36.342909182275356,127.42472204259741,더드림교회,36.34626560859081,127.4227973204785,동산지하차도
1830052805,1830018700,1830018304,은어송로,25,15,36.31064324357822,127.46213951256256,기독교대한성결교회광야교회,36.309568928969824,127.4606147916992,가오동698
1830052808,1830018304,1830018303,은어송로,25,15,36.309568928969824,127.4606147916992,가오동698,36.30780315323553,127.4581088843458,가오동698
1830052900,1830002100,1830018500,신기로,25,15,36.30843443168921,127.45041994986806,천동주공APT삼거리,36.30976877532999,127.45531466774874,가오고네거리
1830053000,1830018500,1830002100,신기로,25,15,36.30976877532999,127.45531466774874,가오고네거리,36.30843443168921,127.45041994986806,천동주공APT삼거리
1830053103,1830018400,1830018500,동구청로,25,15,36.30808099372594,127.45558344971458,대전가오동우체국,36.30976877532999,127.45531466774874,가오고네거리
1830053203,1830018500,1830018400,동구청로,25,15,36.30976877532999,127.45531466774874,가오고네거리,36.30808099372594,127.45558344971458,대전가오동우체국
1830053302,1830006301,1830006300,대전로448번길,25,15,36.30735343877033,127.45448863936146,가오동707,36.30710558849457,127.45411558944274,다솔어린이집
1830053303,1830018400,1830006302,대전로448번길,25,15,36.30808099372594,127.45558344971458,대전가오동우체국,36.30756967472769,127.45481402165508,가오동707
1830053304,1830006302,1830006301,대전로448번길,25,15,36.30756967472769,127.45481402165508,가오동707,36.30735343877033,127.45448863936146,가오동707
1830053401,1830006300,1830006301,대전로448번길,25,15,36.30710558849457,127.45411558944274,다솔어린이집,36.30735343877033,127.45448863936146,가오동707
1830182300,1830069100,1830069400,통영대전고속도로,80,40,36.28625313190413,127.45654066778653,대벌2교,36.28728429595561,127.45786922842322,대벌2교
1830182400,1830068900,1830069500,통영대전고속도로,80,40,36.286619248144156,127.45568107788985,산내JC,36.28969820858494,127.45900442927538,대별1교
1830182700,1830069400,1830069600,통영대전고속도로,80,40,36.28728429595561,127.45786922842322,대벌2교,36.29122939242674,127.46048564339205,대별3교
1830182800,1830069300,1830069900,통영대전고속도로,80,40,36.27594741391024,127.45763245008655,산내JC,36.27373451537486,127.4612075900724,구도1교
1830182900,1830069900,1830069300,통영대전고속도로,80,40,36.27373451537486,127.4612075900724,구도1교,36.27594741391024,127.45763245008655,산내JC
1830183000,1830069600,1830069500,통영대전고속도로,80,40,36.29122939242674,127.46048564339205,대별3교,36.28969820858494,127.45900442927538,대별1교
1830183100,1830069500,1830069600,통영대전고속도로,80,40,36.28969820858494,127.45900442927538,대별1교,36.29122939242674,127.46048564339205,대별3교
1830183200,1830069800,1830069700,통영대전고속도로,80,40,36.30762705075236,127.4613023932058,가오교,36.30696080171108,127.46098711494415,가오교
1830191300,1830072800,1830073200,경부고속도로,80,40,36.34531621795728,127.48111567232105,비룡JCT교,36.34511060569624,127.48338784096696,비룡JCT교
